customer_id,gender,age,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,churn
CUST00001,Male,45,41,27.53,2430.83,Month-to-month,Credit Card,DSL,No
CUST00002,Female,68,18,103.86,8375.54,One year,Electronic Check,DSL,Yes
CUST00003,Female,49,54,84.86,6491.52,Two year,Credit Card,Fiber Optic,No
CUST00004,Male,55,63,46.51,7526.28,Two year,Credit Card,Fiber Optic,Yes
CUST00005,Female,20,39,92.05,5452.75,Two year,Electronic Check,Fiber Optic,Yes
CUST00006,Male,65,5,64.14,709.44,Two year,Bank Transfer,,Yes
CUST00007,Female,37,31,31.98,5440.15,One year,Credit Card,Fiber Optic,Yes
CUST00008,Male,42,11,34.12,6580.47,One year,Bank Transfer,,No
CUST00009,Female,65,9,36.51,3961.36,Month-to-month,Credit Card,Fiber Optic,Yes
CUST00010,Female,64,17,45.98,847.38,One year,Bank Transfer,,No
CUST00011,Female,21,16,44.74,5868.3,Two year,Bank Transfer,,Yes
CUST00012,Male,69,39,114.14,4445.0,One year,Credit Card,DSL,No
CUST00013,Male,55,55,83.2,2750.06,Two year,Bank Transfer,,No
CUST00014,Male,24,14,31.93,7663.17,One year,Credit Card,DSL,No
CUST00015,Male,44,60,51.1,5813.58,Month-to-month,Bank Transfer,Fiber Optic,No
CUST00016,Female,24,69,21.27,8158.23,One year,Credit Card,Fiber Optic,No
CUST00017,Male,55,50,65.68,8305.41,One year,Credit Card,,No
CUST00018,Female,61,36,72.62,7066.79,Two year,Electronic Check,,Yes
CUST00019,Female,32,43,41.12,6033.69,Two year,Credit Card,Fiber Optic,No
CUST00020,Female,64,72,52.93,8181.1,Two year,Credit Card,,Yes
CUST00021,Male,49,49,117.61,7265.42,Two year,Bank Transfer,,No
CUST00022,Female,36,47,22.51,8893.87,Two year,Credit Card,Fiber Optic,No
CUST00023,Male,46,61,65.25,8332.72,One year,Bank Transfer,Fiber Optic,No
CUST00024,Male,26,7,39.86,2358.81,Two year,Bank Transfer,,No
CUST00025,Female,60,46,71.07,8270.71,Month-to-month,Bank Transfer,DSL,No
CUST00026,Male,44,34,41.61,734.02,Month-to-month,Electronic Check,Fiber Optic,No
CUST00027,Female,18,16,90.25,5189.4,Month-to-month,Electronic Check,DSL,Yes
CUST00028,Female,41,27,94.65,1282.86,Two year,Credit Card,Fiber Optic,No
CUST00029,Male,28,48,104.58,1027.72,Month-to-month,Electronic Check,,No
CUST00030,Female,27,14,52.64,4699.88,Two year,Bank Transfer,Fiber Optic,No
CUST00031,Male,57,71,93.53,4109.3,One year,Electronic Check,DSL,No
CUST00032,Female,55,51,79.45,1605.0,One year,Credit Card,DSL,No
CUST00033,Female,69,11,64.97,2594.21,Month-to-month,Bank Transfer,Fiber Optic,Yes
CUST00034,Male,42,3,110.69,1910.17,Two year,Electronic Check,DSL,Yes
CUST00035,Female,41,15,71.27,1703.8,One year,Electronic Check,,No
CUST00036,Male,65,16,60.13,4507.53,Month-to-month,Bank Transfer,,No
CUST00037,Female,25,21,55.88,1391.42,One year,Bank Transfer,,No
CUST00038,Male,46,18,101.87,4888.82,One year,Electronic Check,Fiber Optic,No
CUST00039,Female,32,58,33.37,6026.12,Two year,Bank Transfer,,No
CUST00040,Female,23,38,25.92,8342.71,Two year,Bank Transfer,DSL,No
CUST00041,Female,59,33,104.65,214.01,Two year,Electronic Check,Fiber Optic,No
CUST00042,Male,38,61,89.02,2232.5,Two year,Bank Transfer,Fiber Optic,Yes
CUST00043,Female,26,6,82.26,4958.88,Two year,Credit Card,,Yes
CUST00044,Female,32,40,78.48,8333.2,Month-to-month,Bank Transfer,,No
CUST00045,Female,18,69,88.6,6903.97,One year,Credit Card,,Yes
CUST00046,Female,59,58,53.48,5821.93,Month-to-month,Bank Transfer,DSL,Yes
CUST00047,Female,50,26,36.98,4568.9,Two year,Electronic Check,Fiber Optic,Yes
CUST00048,Female,29,38,68.86,7210.75,One year,Credit Card,Fiber Optic,No
CUST00049,Female,61,4,73.99,2849.05,Two year,Electronic Check,,Yes
CUST00050,Male,64,19,103.66,8788.55,One year,Electronic Check,DSL,Yes
CUST00051,Female,30,68,113.29,1286.29,One year,Bank Transfer,DSL,Yes
CUST00052,Male,51,17,65.81,6794.62,Month-to-month,Bank Transfer,Fiber Optic,No
CUST00053,Male,47,40,93.41,5240.59,Two year,Bank Transfer,DSL,Yes
CUST00054,Female,50,29,97.59,6449.96,One year,Electronic Check,Fiber Optic,Yes
CUST00055,Male,42,21,39.18,5717.68,Month-to-month,Bank Transfer,DSL,No
CUST00056,Male,23,18,80.0,8653.1,One year,Electronic Check,DSL,No
CUST00057,Male,44,69,115.9,5134.25,Month-to-month,Electronic Check,Fiber Optic,No
CUST00058,Male,34,59,83.41,1555.64,One year,Credit Card,Fiber Optic,Yes
CUST00059,Female,19,14,112.12,8739.63,Two year,Credit Card,DSL,No
CUST00060,Female,67,57,82.21,6178.68,Month-to-month,Electronic Check,DSL,Yes
CUST00061,Male,41,44,101.69,7187.84,Two year,Credit Card,Fiber Optic,No
CUST00062,Female,65,63,119.73,6448.21,Two year,Electronic Check,Fiber Optic,No
CUST00063,Male,46,30,101.83,3285.51,One year,Bank Transfer,Fiber Optic,No
CUST00064,Female,26,24,54.79,3445.74,Month-to-month,Bank Transfer,DSL,No
CUST00065,Female,25,60,106.15,5040.83,Month-to-month,Electronic Check,,Yes
CUST00066,Male,44,9,39.26,1612.69,Two year,Credit Card,Fiber Optic,No
CUST00067,Female,29,70,70.45,7743.77,One year,Electronic Check,Fiber Optic,Yes
CUST00068,Male,59,68,85.34,7453.8,One year,Credit Card,DSL,No
CUST00069,Male,44,7,70.4,5368.38,One year,Electronic Check,Fiber Optic,No
CUST00070,Male,42,13,34.86,4205.67,Month-to-month,Credit Card,DSL,No
CUST00071,Male,28,41,92.13,6227.9,One year,Bank Transfer,DSL,No
CUST00072,Male,56,52,98.26,2356.98,One year,Bank Transfer,,No
CUST00073,Male,62,12,72.54,6245.1,One year,Electronic Check,DSL,Yes
CUST00074,Male,45,5,64.24,1932.2,Two year,Credit Card,Fiber Optic,No
CUST00075,Female,40,61,91.4,7991.07,Two year,Bank Transfer,DSL,No
