customer_id,gender,age,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,churn
CUST00001,Male,52,43,60.47,6192.51,Month-to-month,Bank Transfer,DSL,No
CUST00002,Male,51,7,100.06,7227.74,One year,Credit Card,DSL,No
CUST00003,Female,60,56,107.09,6026.33,Month-to-month,Bank Transfer,DSL,Yes
CUST00004,Male,54,34,42.61,1148.44,Month-to-month,Credit Card,None,Yes
CUST00005,Male,37,7,81.22,8995.47,Month-to-month,Credit Card,None,Yes
CUST00006,Male,35,48,73.64,1982.84,One year,Electronic Check,DSL,Yes
CUST00007,Female,40,27,86.99,7912.57,Month-to-month,Credit Card,DSL,Yes
CUST00008,Male,56,65,29.71,2803.49,Two year,Bank Transfer,None,No
CUST00009,Female,31,62,107.68,1777.79,Two year,Electronic Check,DSL,No
CUST00010,Female,70,50,34.37,8581.18,Month-to-month,Electronic Check,DSL,Yes
CUST00011,Male,22,64,103.83,1470.15,Month-to-month,Bank Transfer,None,Yes
CUST00012,Male,61,2,96.59,8783.93,Month-to-month,Bank Transfer,DSL,Yes
CUST00013,Male,18,16,92.64,5498.06,One year,Electronic Check,Fiber Optic,No
CUST00014,Female,57,56,74.86,1523.92,One year,Electronic Check,None,Yes
CUST00015,Male,66,40,115.77,653.44,Two year,Credit Card,Fiber Optic,Yes
CUST00016,Female,43,7,48.31,1769.9,Month-to-month,Bank Transfer,None,Yes
CUST00017,Female,26,41,116.01,3619.09,Month-to-month,Electronic Check,None,No
CUST00018,Male,50,67,46.6,2987.17,One year,Credit Card,Fiber Optic,Yes
CUST00019,Female,30,54,59.96,7252.22,Month-to-month,Electronic Check,None,Yes
CUST00020,Male,59,13,47.3,3264.83,One year,Electronic Check,None,Yes
CUST00021,Male,38,15,54.38,7563.14,Two year,Credit Card,Fiber Optic,Yes
CUST00022,Female,69,56,98.64,6096.55,Two year,Bank Transfer,DSL,Yes
CUST00023,Female,35,3,76.53,5320.55,Month-to-month,Credit Card,None,No
CUST00024,Male,36,26,72.21,1467.61,Two year,Electronic Check,Fiber Optic,Yes
CUST00025,Male,30,48,38.03,5590.79,Two year,Bank Transfer,Fiber Optic,No
CUST00026,Female,54,48,38.08,2205.81,Month-to-month,Credit Card,None,No
CUST00027,Female,54,66,109.49,5324.38,Month-to-month,Electronic Check,DSL,Yes
CUST00028,Female,60,14,105.39,1064.98,One year,Bank Transfer,DSL,No
CUST00029,Male,33,30,118.72,1774.56,Month-to-month,Electronic Check,DSL,No
CUST00030,Female,31,1,105.08,8748.36,One year,Credit Card,Fiber Optic,No
CUST00031,Male,29,70,32.11,3641.79,Month-to-month,Credit Card,Fiber Optic,Yes
CUST00032,Female,50,2,26.44,8509.76,Two year,Credit Card,DSL,No
CUST00033,Male,29,22,104.54,7570.93,Two year,Electronic Check,Fiber Optic,Yes
CUST00034,Female,29,30,33.05,4523.66,One year,Bank Transfer,None,Yes
CUST00035,Male,19,3,106.36,8831.0,Two year,Electronic Check,DSL,No
CUST00036,Male,43,62,86.55,8022.84,Month-to-month,Bank Transfer,DSL,Yes
CUST00037,Female,18,31,75.43,3477.65,One year,Electronic Check,DSL,No
CUST00038,Male,61,67,103.54,3704.77,Month-to-month,Credit Card,Fiber Optic,No
CUST00039,Female,24,28,22.65,3149.83,One year,Electronic Check,Fiber Optic,No
CUST00040,Male,42,50,29.35,6217.6,One year,Electronic Check,None,Yes
CUST00041,Female,29,58,20.08,3577.21,Two year,Credit Card,Fiber Optic,Yes
CUST00042,Male,30,45,74.05,1287.83,Month-to-month,Electronic Check,DSL,No
CUST00043,Male,56,50,88.04,5513.35,Two year,Electronic Check,DSL,No
CUST00044,Female,26,11,21.68,673.32,Two year,Electronic Check,DSL,Yes
CUST00045,Female,47,69,103.33,7498.96,One year,Bank Transfer,None,No
CUST00046,Female,60,18,70.24,6155.3,Month-to-month,Credit Card,DSL,Yes
CUST00047,Male,18,46,76.79,1000.23,Two year,Credit Card,None,No
CUST00048,Male,57,36,103.48,3692.52,Two year,Electronic Check,None,Yes
CUST00049,Female,65,60,118.0,7644.39,Month-to-month,Credit Card,Fiber Optic,No
CUST00050,Female,21,7,33.73,8034.6,Two year,Bank Transfer,None,No
